SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
280   0.0226993785996239      11  ksm+06     1.75993E-18        6  ksm+06 

281   2.77346077007            8  ksm+06     8.92E-16           8  ksm+06 
282   6.82424                 63  slr+14                       0  
283   0.374919985032           6  wmz+01     1.6161E-15         9  wmz+01 
284   0.0031392150            48  slr+14                       0  
285   0.00288573641085019      3  abb+18     1.2184E-20         5  abb+18 

286   0.166762291572          20  hlk+04     1.682112E-14      14  hlk+04 
287   0.2148363514             5  nmc81      2.73E-15           3  nmc81 
288   2.79102517845            5  bjd+06     16.660E-15         5  bjd+06 
289   0.4076702               93  slr+14                       0  
290   1.095452157610          14  dsb+98     9.770E-16          4  dsb+98 

291   0.915171299              2  kbj+18                       0  
292   1.174875                65  slr+14                       0  
293   0.00347877083927942      4  dcl+16     0.77874E-20        5  dcl+16 
294   1.442349479143           3  hlk+04     1.079865E-15      17  hlk+04 
295   0.6822651758060         14  hlk+04     1.618890E-15      14  hlk+04 

296   2.19198689593           15  bkl+13     4.21E-15           3  bkl+13 
297   2.0631                   0  dsm+13                       0  
298   11.37038593             12  kk09       5.6E-14           30  kk09 
299   0.52664353143            3  bbb+12     0.378E-15          1  bbb+12 
300   0.86634928471            3  bkl+13     0.401E-15          3  bkl+13 

301   0.547199235502           4  smd93      3.0825E-15         4  smd93 
302   0.482595929159           4  bkl+13     0.0449E-15        12  bkl+13 
303   1.292241446862           3  hlk+04     1.68114E-16       14  hlk+04 
304   0.64516119106            5  clm+05     0.139E-15          6  clm+05 
305   0.7637418483             5  bkl+13     0.58E-15          24  bkl+13 

306   2.161258926939          15  bjd+06     0.7534E-15         5  bjd+06 
307   1.2381295438682          8  hlk+04     2.105178E-15       7  hlk+04 
308   0.1248363804193          7  bkl+13     2.44174E-15       11  bkl+13 
309   1.07356658405            4  bjd+06     12.169E-15         4  bjd+06 
310   0.54544553611            2  antt94     1.89E-17          13  antt94 

311   0.3967282353771         19  bjd+06     3.47811E-15        7  bjd+06 
312   0.112799455072           5  gha13      9.3E-18            4  gha13 
313   0.8648728046988          9  hlk+04     1.04550E-16        6  hlk+04 
314   0.0099                   0  dsm+13                       0  
315   0.53066051169            3  hlk+04     1.70932E-15        9  hlk+04 

